title,review
Duped,"I was totally on board with the first season. Besides Dexter and Homeland, I don't think there has been a show where I've looked so forward to a new season. However, there is a trend in television now that I abhor. Can you say ""dangling the carrot?"" I get it. Writers/Directors/Producers all want to keep their jobs. But at what cost? I'm truly tired of this trend. I just finished Season 2 and I don't know much more than I did at the end of Season 1. Yellowstone and all its baggage: HUGE offender is this way. But back to Yellowjackets. There are some great actors playing the teen version of the characters; some quite compelling. Case in point, the actress playing the teen version of Natalie. Anyway, I really can't say if I will watch Season 3. And with the writers' strike, who knows when that will be? At that point, I may forget everything I've watched. Might not be a bad thing."
Season 1: 7/10. Season 2: 2/10. New overall series rating: 4/10,"I was so intrigued and became very interested in this show throughout season 1, as it was a great premise and told well enough between two timelines in every episode - which is hard to do, but they pulled it off. So I was 10 episodes invested in this show, and waited all this time with great anticipation for season 2, which as I just finished the season finale, ended up being the biggest joke of any series I have ever seen. The entire 9 episodes (I guess they couldn't find enough rubber bands to stretch this season's writing to a nice even 10 episodes, so what does that alone tell you) were maybe a total of a 90-100 min movie narrative with something of substance, albeit a terrible movie at that. So now imagine adding in enough useless filler riddled with plot holes and convoluted writing to stretch it to a max 9 episodes. It became painful. ""It"" became too painful to watch and listen to all the nonsense. A fifth grade drama class could've come up with a better season 2. I'm done with this show and Showtime, for wasting my time."
Good slow burn cross genre,"I'm writing this review 6 episodes into the first season and so far I'm pretty happy with the show overall. Reading though some of the reviews I'm seeing a lot of repeat criticisms - while they're certainly valid, I find a lot of the lower scores are either too harsh or simply exaggerated. If you're considering giving this a watch and you like a cross genre type of show with a bit of sci-fi, horror and mystery, this is definitely worth checking out.There are a lot of complaints that it's slow moving and as the title states, this is definitely a slow burn (sometimes maybe a little too slow) but my main problem here is the way they're bouncing back and forth between the two storylines. The show simultaneously tells two stories involving the same characters both in present day and in the 90's when they were a high school soccer team. The constant and sometimes poorly timed jumps back and forth definitely get on my nerves more than I'd like. It also creates a little bit of confusion at times so with these two elements combined it represents the shows biggest and only significant drawback, for myself at least.With that said, there's a little something here for everyone and that's what I'm currently enjoying most about the show. There's a strong mystery element, some elements of suspense, horror, gore and even a little bit of suggestion of the supernatural. While that's all great, there's also some teenage drama which certainly won't be for everybody but I will say that it's done in a very minimal and palatable way that still is effective in playing out the story. So don't let that deter you!The acting is very very good and while I found that Melanie Lynskey may have been miscast at first, she's really settled into the role and I'm thoroughly happy with the performances of all the cast. Now with this being the 2020's of course identity politics play a role in the writing and casting. As you might assume, the cast is perfectly diverse and comes complete with a black lesbian woman who is strong and in a traditionally male role running for office in the current day. Despite all this, this doesn't fall into the category of Woke Culture Slog like so many other shows have recently. Nothing much feels forced or unfitting so far in the script as far as I can see.So while there are a couple minor flaws and we don't have the next Lost, x-files, or Fringe we do have a great cross genre show that does a good job of combining drama, mystery, sci-fi and horror that's well worth checking out for a pretty broad audience with a little something for everyone. 8/10 would absolutely recommend."
mid season lags,It's an exciting show. Entirely unique and fresh with just the right amount of nostalgia but 7 episodes in there's a lot that HASN'T happened and this is unforgivable for a weekly show that thrives on mystery in two separate timelines. I've my hopes on it and I'm hoping for a second season but they'll need to step up the game.
Off to a great start! Love the premiere episode!,"I'm watching the first episode now and it's very exciting so far. Humor, intrigue, excitement! I can't wait to see what will happen next! The acting is great and everyone seems well cast."
Season 2 Drop-off,"It seems I'm not the only one disappointed in season 2. Season 1 was great. You were left with questions at the end of the season but still received some answers as well. However, season 2 just got out of hand super quickly. More and more questions arose and no previous questions got answered. The season just kept rolling like this causing a loss of character development and decent plot line. I understand the mystery is 'what's going on'? Is there a supernatural element or are we dealing with insanity due to circumstance? That's fine but you need to build up the story and develop the characters. To me, this all just got dropped in season 2. I have to chalk it up to terrible writing. It's so disappointing since season 1 was great. I hope a bounce back can be made in season 3, although I think the show has already lost quite a few viewers due to the season 2 bust."
Fantastically Written,"This series was just insane! I really hate when people call something ""slow"" simply because it's lacking action. Yeah, if all you want is action, then you'll probably not like the beginning of the series. Personally, I like to watch things that have intelligence to them. I find blasting nonstop action to be ""boring,"" so I guess I'm the opposite. Yellowjackets is HARDLY slow, though. I was engaged the entire time and I absolutely could not stop watching. The show is a psychological thriller, so it's supposed to keep you thinking, which the writers never fail to do. I can't wait for the second season!"
Lots of promise with no delivery,"Pretty great acting and a really interesting and mysterious premise that would have made a fantastic mini-series. Instead the story has been stretched to a possible 5 season long arc of probable cliff hangers and quality drops were the mysteries keep coming and the answers are far and few between as this season has showed us.I honestly hope time proves me wrong and the whole thing ends well but this start has given me shaky faith to say the least.Props to both the '96 and '21 actors though, they nailed it."
Great Start,This is based off the pilot alone so far but it's off to a booming beginning. Two stories rolled into one bigger story keeps you bouncing back and forth and wanting to see where each one is going and how the first affects the 2nd. I don't find it confusing at all but I've read some other have found it so. I don't see how but to each their own.Can't wait to see where it's going!SweeZ.
"Superb Acting, Unsatisfying End","My real rating is a 6.5. I really like the premise of this show, and the acting is truly great, so I have no complaints there. The downside? I think this would have served better as a mini-series that wrapped up in one intense season. I don't want to have to sit through 3+ seasons to watch this story flesh out. As other reviews have said, it seems like the writers aren't sure what direction they want to take the show and which story they want to run with. Is it horror? Is it supernatural? Is it survival? Is it suspense? You get teased with supernatural elements that are quickly dropped & forgotten for several episodes, only to get a tiny tease of it again. The entire 1st season is a slow buildup that doesn't even end at the 10 minute series opening scene. The season ends with no answers as to how they suddenly decline into primal depravity, other than teases of answers. I wanted more out of an ending. All in all, I like the show, but I don't love it. I think the audience deserved more closure for a first season."
Drags... Episode 10 should have been like episode 3 or 4,"This series has a fantastic pilot, but the rest of the series is filler. If they had consolidated all the subplots from episodes 4~9 and had the finale be the halfway point it would fix the glacial pacing and repetitious foreshadowing. This is one of those show seasons that feels like its just setup for the next season."
Hooked so far,"Lord of the Flies in the Ontario wilderness instead of an island. Yesss. I'm interested in seeing how this goes! Think it's going to be intense, gut wrenching, etc. Misty is already a creep."
This is actually pretty good. Surprised but enjoyed it,"So, we were searching for a new show to watch and knew basically nothing about this series. As it turns out, it's pretty well written and has an intriguing story and good acting. We have completed almost all of season 1 and now are eagerly waiting for season 2. A good mix of intrigue and mystery and drama with good acting, this is a thumbs up/watch in my humble opinion."
Dark fascinating story,"A group of teenagers in extreme survival situation. How far are they ready to go to stay alive? Is there a supernatural force taking control over them, or is it all in their heads? How do they handle the trauma after being rescued?The story is really thrilling and at times blood-freezing. I like that the characters are complex and far from being angels. Most of the actors do amazing job. Melanie Lynskey and Christina Ricci add so much charisma to their characters. As for the younger cast, I see big potential in Sophie Thather and Ella Purnell and would love to see them in different projects.I liked season 1 better than season 2, because in the latter some plot lines are abandoned and some are not so interesting or unnecessary. Nevertheless, my general impression is still very good and I'm looking forward to next season."
"If you're watching because the opening scene gripped you, turn your TV off!","Regardless of the other reviews, know one thing, if you are waiting for the opening scene of season 1, be known, it NEVER comes.It takes slow burner to a new dimension. It's just a bunch of women saying things like 'we did terrible things' or 'nobody can ever find out' but I'm coming to the end of season 2 and I'm still waiting. The intrigue of the endless remorse scenes grips you, and episode after episode ends with a 'when is the going to get good!!'It's a cool story, and make no mistake the acting is so so good. But my lord, the main storyline is middle age women struggling with .... Middle age life, then cutting back to sitting In a hut with a fire.The opening scene was the best part of the series, and assuming they can't drag that out to 3 seasons, the end of season 2 may eventually get to it."
This series isn't perfect but I still loved it,"Yellowjackets (2021) is a series that I started when it first began and just recently finished. It's available on the Showtime App and Peacock. The storyline follows a high school girl's soccer team whose plane crashes in the wilderness. The series depicts both how they survived in the forest and how those events impacted their lives as adults.This series was cocreated by Ashley Lyle and Bart Nickerson, who also worked together on Narcos, and stars Juliette Lewis (Natural Born Killers), Christina Ricci (Black Snake Moan), Melanie Lynskey (Don't Look Up), Sophie Thatcher (The Book of Bobba Fett), Kevin Alves (Locke & Key) and Tawny Cypress (Brooklyn's Finest).The storyline for this is written very well in how it mixes previous and current events. The characters and circumstances are unique, fascinating and unveiled to the audience at the appropriate pace. The flashback scenes in the woods are outstanding. There's times you find yourself thinking get back to that storyline. The present day storyline gets better as the film unfolds. Christina kills this performance and is very good as her character. You can say the same about Juliette Lewis and Melanie Lynskey (who was also great in Castle Rock). The chemistry and dynamics between characters is very well delivered. The last two episodes are worth the journey of watching this series. I didn't expect this to get trippy but it does.Overall, this series isn't perfect but I still loved it. They can go in so may directions from here and I can't wait for season 2. I would score this an 8-8.5/10 and strongly recommend it.Yellow Jackets: Season 2 (2023) is a series my wife and I recently finished watching on Showtime. The storyline picks up where season 1 left off with Shauna trying to cover up her boyfriend by any means necessary due to the information he's obtained. Misty and Natalie having been separated and Natalie isn't doing so well, while Misty has a new love interest. 👀 One of the missing from the group returns and tries to bring all the remaining survivors from the crash back together to show them the way through her new cult...I'll be honest, I thought it would be tough for Season 2 to match the intensity and unique elements presented in Season 1...but the writers hit the nail on the head. The overall concept of the survivors of the crash dying while trying to survive or after surviving, but the outcome remains the same just the timeline changes, and tying those two timelines together was amazing. This series does a really good job keeping past tense and current states equally as interesting. This series also does a great job of showing the characters mindsets and the impact on their lives. Elijah Wood (Lord of the Rings) being added to the cast was outstanding. His performance was over the top good and impactful within the primary storyline. The cult aspects added to this season was the one part that was a big miss for me, especially in the final episode (even if I loved the finale). I'd also say the detectives being buffoons was a bit out there. Ricci, Lewis and Lynskey once again knock their performances absolutely out of the park. The last two episodes were a 10/10.Overall, this is one of my favorite active series and I can't wait for Season 3. I would score this season equal to Season 1, a 9/10."
I LOVED IT !!!!,"It's been a really long time since I've felt this strongly about a show, especially after only watching the pilot episode.I am so anxious and curious to find out what's gonna happen next to these girls/women. I'm a huge fan of movies where people get stranded somewhere and must fight to survive (Frozen, The Canyon, Alive, Open Water).I don't normally like shows with a ton of flashbacks but I know with Yellowjackets it's necessary to tell the story. I want to know EVERY detail of what went on after the plane crash in the wilderness.I'm super intrigued and excited by this delightful new show and it sucks that I have to wait a week to see the next episode."
Christina Ricci perfect to that role!,"As always Christina Ricci nailed this role! She is such a talented actress. She portrsit it so realistic with her face expressions and even bodylanguage. Juliette Lewis is also perfect to her character. I cant wait for season 2,3,4... etc! Keep it coming!"
Second season is an insult to the first!,"Couldn't have been more disappointed with the second season - especially after such a strong start and all that was built in the first season.All the work that was put into creating the characters, and the tension surrounding the mystery of their circunstances, was all utterly destroyed - and each episode gets rapidly worse and worse.You'd be better off watching the first season, and then switching off and just using your imagination to what could be in store, rather than see the descent into utter madness. It is a painful watch.Do not watch it you want to keep your love of the first season intact. There is no pay off or reward for sticking through it."
Season 1: A+. Season 2: C -,Season two was like having a new writer every week that never read the previous episodes. Filler episodes with quick to end storylines. Spend six episodes on one subject then just quickly end it. At first I thought I just wasn't smart enough to follow along then I realized this was just bad writing. I'm fine with just ending it here. Such good writing with first season. Wouldn't mind a Walter and Misti spin-off . Another victim of second season slump. So embarrassed I recommended this for people to watch after season two. I will say the casting and song choices for soundtrack are amazing. Great acting.
Oh what a perfect balance,"This show has heart, humor, horror, and it jolts you back and forth through two timelines, effectively chronicling the impact of trauma at such a young age carried through adulthood. The earlier time period shows how the structured hierarchy of a privileged, talented high school girls soccer team quickly devolves for the sake of survival in the wilderness. You care about the plight of these characters, so you are comforted to see some of them in the present-day timeline as functioning adults. However, you quickly realize that it is all a facade and that the experience has left deeper scars than any of them would care to admit. Kudos to the younger cast, as they are all solid, giving us outstanding performances. Then we get the bonus of their adult versions being portrayed by none-other-than veteran actresses, the damsels of the 90s - Juliette Lewis, Christina Ricci, Melanie Lynskey, who are a hoot together. I have not seen casting this perfect in a long time, and with an actual good storyline presented in a way that keeps you captivated, ""Yellowjackets"" without a doubt is one of the top shows to come out in 2021."
"Not perfect, but absolutely addictive!","After binging season 1 and 2, I can say that I love this show. Is it perfect? No, but is great for what it is? Yes!For a show that is blending several genres together, I think it's doing very well. I also love that if you pay attention, there are lots of little easter eggs and references, that once you pick up on and research, add a whole other layer of depth to the show, characters and purposes.Yellowjackets is a blend of a deep drama, survival, mystery, horror, thriller, with it's tibits of black and quirky comedy, and truly disturbing moments.In terms of whether this show is a slow burn - yes and no. Once the plane crashes, things really kick off. I personally feel that in every episode from Season 1 Ep 2 onwards that there is always something engaging going on in every episode; usually one or more things at the same time, and it's all relevant. So it doesn't feel slow to me. However, I can appreciate that in terms of the bigger picture of the whole story unravelling and simultaneously the future as well - it is a slow burn. If you're expecting explanations, and the bigger, more gnawing mystery being solved and handed on a plate to you, then this isn't the show for you. Incremental reveals are made overtime. They feel worth it to me. I personally can't wait for season 3 to see what will unfold in the greater mystery, and furthermore in understanding these characters better!Every actor does a phenomenal performance in their role. I was brought to tears and shaking from several scenes. One thing for certain about this show is that it is heavily themed around trauma, and what can happen when extreme trauma is ignored or not given care and early intervention. We see the past traumas still very much alive in the survivors of Yellowjackets, and how these traumas age manifesting in each person uniquely.One question remains for me, did they create something together... or, was there something already there?I hope you find this show as engaging and thought-provoking as I have! I revommend avoiding spoilers too."
Definitely lord of the flies but creepier,"I love this. It's the genre I didn't know I was missing in my life. Horror/thriller/muster/realistic fiction all in one. It's got super dark and creepy vibes, especially the first two episodes so far, but I don't want to turn it off and can't stop watching it. It's definitely a love or hate kind of show."
Disturbing. Messed up. Vile. Violent. Sick. But....,I LOVE it!!! Who would have thought a show about a woman's soccer team crash landing in the middle of nowhere manage to successfully be an engrossing horror series?? This thing is incredible!!! 3 episodes in and Sunday can't come soon enough!!! Showtime you've blown mind!! Between this and Yellowstone Sunday's kick ass!!!Strongly Recommended!!! If you can stomach it you will love it!!! If you appreciate good horror then this should do the trick!!!
Had potential but it let me down...,"With this cast And this premise, I really wanted to like this show. However, it just wasn't enough for me. Plot holes, lack of suspense, corny dialogue and lack of emotion. I'm not entirely sure where this premise took a nose dive for me but I can tell you I didn't feel an ounce of horror. There was so suspense on my end. It was dull and I can't believe I made it through all of these episodes. The ending was so lackluster and gave us next to no pay off. I don't know if I even care what happens in season 2 if there is one. This was lazy writing, it had such potential."
"So far, so intriguing.","Quality acting and interesting storylines - although, admittedly, I think the 90s segments were more interesting, and could have probably carried the show on their own. It's a very slow burner, and it has me hooked.If I'm honest, I was originally only here for Christina Ricci, and how good her award worthy performance was supposed to be - it totally is. But the cast at large is very good.I'm a little disappointed that people are asking, nay demanding in some reviews, for the series to progress more quickly. I hope Showtime are committed to taking the show at the creators pace - also I disagree with some reviewers that call that the show be more specifically horror, supernatural, or suspense.Here's looking forward to Season 2."
Tale of 2 storyline's....one good. One boring.,"Put simply the teenage version where they are lost in the woods is actually quite compelling to watch. There is an entire season or more worth there that they could have done a different ""lord of the flies"" type thing.When they are adults things grind to a boring halt tbh.They should have done the entire season on when they were young girls lost in the woods and doubled down in the whole Occult/demon thing tbh.Missed opportunity."
100% Worth the Watch.,"This is a great show. It's a far cry from much of the analytics based content we get from companies like Netflix. Hopefully, ""Yellowjackets,"" can wrap up the main storylines in a way that is satisfactory and doesn't fall prey to ""Dexter syndrome."" By, ""Dexter Syndrome,"" I mean the show is great until its conclusion.""Yellowjackets"" is a slow burn and is more subtle than shows like ""Stranger Things"" and ""Harold and Kumar Go to White Castle"" whose writers choose to slam plot points down your throat. Look at ""Better Call Saul"" if you want an example of things not really happening for the first couple of seasons but still being an amazing show start to finish.The show might not be for you, but it's a shame to at least not give it a try. My expectations were very low, and it became one of my favorite shows of recent memory. It has some intelligent writing with time jumps that can be tough to do correctly but, in my mind, aren't excessively obtrusive. The show fluidly goes between two main timelines and several other ones to explain the story. Yes, we do immediately see them being all cannibal tribed out in the very first scene, which I can appreciate some criticism in regard to this issue since cannabalism doesn't happen at all in the first season. I, however, feel it is a good cliffhanger how they ended season one at the start of winter and with a main character dying from hypothermia. This cliffhanger sets up season two well, and enough happened in season one that I'm very happy with it. This cliffhanger gives us the descent into madness to look forward to in season two. Also, season two's premiere was great, so I'm looking forward to it.Sit back and enjoy the ride. Writers don't always have to give you exactly what you want immediately, or at all, for a show to be good."
Addictive and ambitious but flawed,"""Yellowjackets"" is addictive like a drug, very well-made, exceptionally well-acted by all, almost perfectly cast in matching the younger with the older versions of the same characters (with one exception: Juliette Lewis, whose performance is very good but I never really felt I was watching the same person as Sophie Thatcher was playing as a teen; the teen version was cooler and more positive), with some remarkably genuine portrayals of teenage girls friendships, especially between Jackie and Shauna. At the end of each episode, you immediately want to start the next one. BUT.....there is also something irritating about the way the showrunners keep stringing you along, teasing things in the Pilot that STILL haven't happened when the season ends! ""Yellowjackets"" season 1 could be described as the longest cinematic foreplay ever; the ending is disappointing as it resolves just one mystery while adding about five new ones (this tactic did not work for ""Lost"" in the long run). Also, the 1996-1997 scenes are definitely more compelling than the ""present"" storyline, though the writers do manage a shocking twist in the latter regarding the identity of the blackmailer (and Christina Ricci, especially, is fantastic). If the show had stayed more in the past and had finished a complete season arc, I might have given it an 8 or even a 9 out of 10, now it's a 7 (I probably would have cut out the two major male characters of the past as well, to give it a more unusual all-girl dynamic). Will I be watching season 2 when it comes? Sure....but in a lot more impatient mood for concrete answers and events."
5/10. Not recommended,"Firstly, it tricks you it's gonna be a horror tv show. Then it tricks you it's gonna be a good tv show.It's neither of those.This is a teenage comedy/drama with some horror elements. At first, it works, but the last 4 episodes are truly awful. They are also cringe and unintentionally funny, almost like a parody of the former episodes.Even acting gets worse.Unbelievable things happen, people act out of character, the show is becoming ridiculous and it's such a pity, because all the good actors and fine music are being wasted.Why did this show become so dumb? I mean, it wasn't a masterpiece, but the first half was watchable and entertaining.The last episode is pure -unintentionally- comedy. A person dies and it is the most stupid death in the history of television. Instead of feeling sadness, i bet that every viewer is gonna burst out laughing.Juliette Lewis, Warren Kole, Samantha Hanratty, Christina Ricci and some others are doing a good job here. Actors are not the problem in this show."
"What, there's no book club?!?","Yellowjackets is great. Really good story telling. Dramatic, scary at times and surprisingly funny. Christina Ricci is amazing but all the acting is strong."
Great,"Finally, something good, I love it. Good mistery, good actors, interestting personal lives, not over the top gore, just what I want, not a moment of boredom. I hope will be good untill the end."
So friggin good.. I'm obsessed!!!!,"Awesome show, great story and even better acters. Juliette Lewis is always the best as well as Christina Ricci. It's has started off with a bang and the mystery keeps getting darker and darker. Can't wait for the next episode!!"
Confusing,It's like pretty little liars meets lost meets some generic teen drama. In the midst of starvation a boy and a girl are arguing about some guy she slept before him. That is very confusing to me. It's like the writers aren't familiar with Maslow needs hierarchy.Also a lot of things get teased in the first episode which don't happen.
Movie Premyy Honest Review,"A mixture of Horror, Humour, Mystery, Human Emotions, Psychic Power, etc. Subplots, Character developments, Music, and Performances are the highlights of the show but it is slow with lots of s*x, violence, intense scenes and gets darker with each episode which makes you uneasy so watch at your own risk. Can not wait for more. Highly Recommended! 🔥"
"Strong cast, poor writing","I had originally given this series a 9 after Season 1. The plot, characters, music, writing and acting was fantastic. I don't understand what happened with Season 2. It could have been the opportunity to showcase more back stories of the characters, or show more of how they were forced to survive in the wilderness. Instead it focused on the same plot point and introduced or highlighted characters nobody cares about. Why is the Coach getting so much screen time? Who are all the Yellowjacket players that randomly show up in season 2? The extensive character development in Season 1 disappears in season 2 and honestly the women just become annoying to watch. Such a strong cast of female actors and their talents were completely wasted in Season 2 with minimal range and dragging storylines. I hope there is a Season 3 so there is the chance for writers to redeem themselves, but with the quality of Season 2 I won't hold my breath."
One of the best shows in a long time,"Keeps you on the edge of your seat, no dull moment here. Clever storyline and you never know what bad will happen next. Amazing very likable actors, except of course , Misty."
Why isn't it better?,"4 episodes in and I don't quite know why this show isn't much better than it is.Great plot, well directed, beautifully shot, good acting and a really great soundtrack, but it seems to fall short.Maybe it's the disconnect between some of the teen actors and their grown up counterparts - it's not easy to know who's meant to be who. Maybe it's the fact that very few of the characters are easy to empathise with - they're all quite dislikeable.I've given it 7/10 in the hope that improves along the way."
